Approved Symbol	Approved Name	Aliases	Entrez Gene ID (mapped data supplied by NCBI)	Ensembl ID (mapped data supplied by Ensembl)
SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)		6341	ENSG00000133028
OR7E14P	olfactory receptor, family 7, subfamily E, member 14 pseudogene	OR11-5	10819	
OR5B21	olfactory receptor, family 5, subfamily B, member 21		219968	ENSG00000198283
OR51F2	olfactory receptor, family 51, subfamily F, member 2		119694	ENSG00000176925
FRMD6	FERM domain containing 6	MGC17921, willin, EX1	122786	ENSG00000139926
DLG2	discs, large homolog 2 (Drosophila)	PSD-93, PSD93, chapsyn-110, PPP1R58	1740	ENSG00000150672
HPS3	Hermansky-Pudlak syndrome 3	SUTAL	84343	ENSG00000163755
CA7	carbonic anhydrase VII		766	ENSG00000168748
RPS2P32	ribosomal protein S2 pseudogene 32	MGC27348	256355	ENSG00000232818
RPL23AP20	ribosomal protein L23a pseudogene 20		645962	
NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	MGC35570	123606	ENSG00000170113
THEM4	thioesterase superfamily member 4	CTMP	117145	ENSG00000159445
OR4F5	olfactory receptor, family 4, subfamily F, member 5		79501	ENSG00000186092
PGAM1P12	phosphoglycerate mutase 1 pseudogene 12		390643	ENSG00000250825
NPM1P18	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 18		10829	ENSG00000225739
PRSS47	protease, serine, 47		138652	
RNU7-85P	RNA, U7 small nuclear 85 pseudogene	U7.85	100151682	ENSG00000238884
DRAP1	DR1-associated protein 1 (negative cofactor 2 alpha)	NC2-alpha	10589	ENSG00000175550
PEBP4	phosphatidylethanolamine-binding protein 4	MGC22776, CORK1, hPEBP4	157310	ENSG00000134020
XPNPEP2	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound		7512	ENSG00000122121
GSTM5	glutathione S-transferase mu 5		2949	ENSG00000134201
ASB3	ankyrin repeat and SOCS box containing 3	ASB-3	51130	ENSG00000115239
PKD2	polycystic kidney disease 2 (autosomal dominant)	PKD4, PC2, Pc-2, TRPP2	5311	ENSG00000118762
VENTXP3	VENT homeobox pseudogene 3		349814	
LONP2	lon peptidase 2, peroxisomal	MGC4840, LONP, LONPL	83752	ENSG00000102910
CPT2	carnitine palmitoyltransferase 2	CPTASE	1376	ENSG00000157184
SNORD115-30	small nucleolar RNA, C/D box 115-30	HBII-52-30	100033804	ENSG00000200987
MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	BMYB, B-MYB	4605	ENSG00000101057
ITIH4	inter-alpha-trypsin inhibitor heavy chain family, member 4	IHRP, H4P	3700	ENSG00000055955
ACAD8	acyl-CoA dehydrogenase family, member 8		27034	ENSG00000151498
DHRS9	dehydrogenase/reductase (SDR family) member 9	RDHL, 3alpha-HSD, RETSDR8, RDH15, SDR9C4	10170	ENSG00000073737
GLUD1P4	glutamate dehydrogenase 1 pseudogene 4		2750	
P4HTM	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)	P4H-TM, PHD4, PH4, HIFPH4, FLJ20262, EGLN4, PH-4	54681	ENSG00000178467
C10orf32	chromosome 10 open reading frame 32	FLJ40752	119032	ENSG00000166275
SLC2A3P4	solute carrier family 2 (facilitated glucose transporter), member 3 pseudogene 4		399495	
RPL12P39	ribosomal protein L12 pseudogene 39		100271410	
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5	ADMP-2, ADAMTS11	11096	ENSG00000154736
GPR31	G protein-coupled receptor 31	HETER1, 12-HETER	2853	ENSG00000120436
OTUD4	OTU domain containing 4	HSHIN1, KIAA1046, DUBA6	54726	ENSG00000164164
ZNF474	zinc finger protein 474	4933409D10Rik, FLJ32921	133923	ENSG00000164185
SNORA18	small nucleolar RNA, H/ACA box 18	ACA18	677805	ENSG00000207145
RNU7-27P	RNA, U7 small nuclear 27 pseudogene	U7.27	100147814	ENSG00000238750
SPC25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	MGC22228, AD024	57405	ENSG00000152253
ERVI-1	endogenous retrovirus group I, member 1		100131068	
ITPKB-IT1	ITPKB intronic transcript 1 (non-protein coding)		100506443	ENSG00000228382
SFI1	Sfi1 homolog, spindle assembly associated (yeast)	KIAA0542, PISD	9814	ENSG00000198089
HSPB1	heat shock 27kDa protein 1	HSP27, HSP28, Hs.76067, Hsp25	3315	ENSG00000106211
PHF12	PHD finger protein 12	PF1, KIAA1523	57649	ENSG00000109118
ADAMTSL1	ADAMTS-like 1	ADAMTSR1, FLJ35283	92949	ENSG00000178031
MRGPRX3	MAS-related GPR, member X3	MRGX3	117195	ENSG00000179826
IGLV3-30	immunoglobulin lambda variable 3-30 (pseudogene)		28789	ENSG00000253329
RPS17L	ribosomal protein S17-like		100505503	ENSG00000182774
CALCR	calcitonin receptor	CTR	799	ENSG00000004948
ZNF461	zinc finger protein 461	GIOT-1, MGC33911	92283	ENSG00000197808
IGLCOR22-1	immunoglobulin lambda constant/OR22-1 (pseudogene)	IGLC/OR22-1	84096	ENSG00000254127
CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	BGP1, CD66a	634	ENSG00000079385
SYN2	synapsin II	SYNII, SYNIIa, SYNIIb	6854	ENSG00000157152
IGLV3-1	immunoglobulin lambda variable 3-1		28809	ENSG00000211673
TMEM156	transmembrane protein 156	FLJ23235	80008	ENSG00000121895
MIR3673	microRNA 3673	hsa-mir-3673	100500848	
ENO1-AS1	ENO1 antisense RNA 1 (non-protein coding)		100505975	ENSG00000230679
CPB2-AS1	CPB2 antisense RNA 1 (non-protein coding)		100507343	ENSG00000235903
SCRN3	secernin 3	FLJ23142	79634	ENSG00000144306
SSX2B	synovial sarcoma, X breakpoint 2B	CT5.2b	727837	ENSG00000157950
UAP1L1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1		91373	ENSG00000197355
BCKDK	branched chain ketoacid dehydrogenase kinase		10295	ENSG00000103507
MIR320B1	microRNA 320b-1	hsa-mir-320b-1	100302117	ENSG00000211543
MTND5P3	MT-ND5 pseudogene 3			ENSG00000232447
RPL27P11	ribosomal protein L27 pseudogene 11		442723	
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3		116988	ENSG00000133612
PIRC40	piwi-interacting RNA cluster 40		100313898	
NAT8L	N-acetyltransferase 8-like (GCN5-related, putative)	FLJ37478, Hcml3	339983	ENSG00000185818
KCNJ1	potassium inwardly-rectifying channel, subfamily J, member 1	Kir1.1, ROMK1	3758	ENSG00000151704
TRNAI15	transfer RNA isoleucine 15 (anticodon AAU)		100189275	
CLEC9A	C-type lectin domain family 9, member A	UNQ9341, HEEE9341	283420	ENSG00000197992
TRNAI30P	transfer RNA isoleucine 30 (anticodon AAU) pseudogene		100189481	
INTS4L1	integrator complex subunit 4-like 1	FLJ25037	285905	ENSG00000164669
TMEM222	transmembrane protein 222	DKFZP564D0478	84065	ENSG00000186501
TCEB1P5	transcription elongation factor B (SIII), polypeptide 1 pseudogene 5		100288493	
CHAF1B	chromatin assembly factor 1, subunit B (p60)	CAF1P60, CAF-1, CAF1, CAF1A, MPP7, MPHOSPH7	8208	ENSG00000159259
DMD-AS2	DMD antisense RNA 2 (non-protein coding)			
ZMAT3	zinc finger, matrin-type 3	WIG1, MGC10613, FLJ12296, WIG-1, PAG608	64393	ENSG00000172667
HMGB3	high mobility group box 3	HMG2A, MGC90319	3149	ENSG00000029993
PCDHB7	protocadherin beta 7	PCDH-BETA7	56129	ENSG00000113212
DEFB109P1B	defensin, beta 109, pseudogene 1B		641517	ENSG00000206034
AKR1B1P7	aldo-keto reductase family 1, member B1 pseudogene 7		126242	
OR51A6P	olfactory receptor, family 51, subfamily A, member 6 pseudogene		390046	ENSG00000197023
RPSAP9	ribosomal protein SA pseudogene 9		653162	
CCDC33	coiled-coil domain containing 33	FLJ32855, CT61	80125	ENSG00000140481
GAPT	GRB2-binding adaptor protein, transmembrane	FLJ33641	202309	ENSG00000175857
CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	P450DX, P1-450, P450-C, CP11	1543	ENSG00000140465
BAAT	bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase)	BAT	570	ENSG00000136881
TRAV32	T cell receptor alpha variable 32 (pseudogene)		28650	ENSG00000258905
ZDHHC20P2	zinc finger, DHHC-type containing 20 pseudogene 2	OTTHUMG00000133740	100048908	
STAG3L3	stromal antigen 3-like 3		442578	ENSG00000174353
ATXN2	ataxin 2	ATX2	6311	ENSG00000204842
MUC16	mucin 16, cell surface associated	CA125, FLJ14303	94025	ENSG00000181143
GRAMD3	GRAM domain containing 3	NS3TP2, FLJ21313	65983	ENSG00000155324
MRPL52	mitochondrial ribosomal protein L52		122704	ENSG00000172590
SLC25A25	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25	KIAA1896, PCSCL, MCSC	114789	ENSG00000148339
TRBJ2-3	T cell receptor beta joining 2-3	TRBJ23, TCRBJ2S3	28626	ENSG00000211767
EVI2A	ecotropic viral integration site 2A	EVDA	2123	ENSG00000126860
IDDM16	insulin-dependent diabetes mellitus 16		3415	
SH2B1	SH2B adaptor protein 1	FLJ30542, SH2B	25970	ENSG00000178188
LINC00348	long intergenic non-protein coding RNA 348			
SSTR2	somatostatin receptor 2		6752	ENSG00000180616
SYCP2	synaptonemal complex protein 2	SCP2	10388	ENSG00000196074
FRA10C	fragile site, BrdU type, common, fra(10)(q21)		2433	
RPL27P6	ribosomal protein L27 pseudogene 6		647112	
TRNAG30	transfer RNA glycine 30 (anticodon GCC)		100189366	
ANTXRL	anthrax toxin receptor-like		195977	ENSG00000198250
GREB1	growth regulation by estrogen in breast cancer 1	KIAA0575	9687	ENSG00000196208
CKMT1B	creatine kinase, mitochondrial 1B	UMTCK	1159	ENSG00000237289
HIGD1AP7	HIG1 hypoxia inducible domain family, member 1A pseudogene 7			
TRNAP7	transfer RNA proline 7 (anticodon UGG)		100189088	
SNHG4	small nucleolar RNA host gene 4 (non-protein coding)	U19H, NCRNA00059	724102	
NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	NFAT3	4776	ENSG00000100968
SCZD2	schizophrenia disorder 2		6378	
TRNAA15	transfer RNA alanine 15 (anticodon UGC)		100189114	
NKIRAS1	NFKB inhibitor interacting Ras-like 1	KBRAS1, kappaB-Ras1	28512	ENSG00000197885
RPS3AP9	ribosomal protein S3a pseudogene 9		100271129	
FRA4B	fragile site, BrdU type, common, fra(4)(q12)		2389	
SLC4A9	solute carrier family 4, sodium bicarbonate cotransporter, member 9	AE4	83697	ENSG00000113073
CCDC144A	coiled-coil domain containing 144A	KIAA0565, FLJ43983	9720	ENSG00000170160
TAS1R2	taste receptor, type 1, member 2	T1R2, TR2	80834	ENSG00000179002
MIR30A	microRNA 30a	hsa-mir-30a	407029	ENSG00000207827
KRTAP10-9	keratin associated protein 10-9	KAP10.9, KAP18.9	386676	ENSG00000221837
MORN1	MORN repeat containing 1	FLJ13941	79906	ENSG00000116151
CYCSP43	cytochrome c, somatic pseudogene 43	HCP43	360187	
PPP1R10	protein phosphatase 1, regulatory subunit 10	PNUTS, FB19, CAT53, p99	5514	
DFNM1	deafness (recessive, nonsyndromic) modifier 1		54362	
SMC4	structural maintenance of chromosomes 4	hCAP-C, CAP-C	10051	ENSG00000113810
TRNAK39P	transfer RNA lysine 39 (anticodon UUU) pseudogene		100189504	
PVRIG	poliovirus receptor related immunoglobulin domain containing	MGC2463, C7orf15	79037	ENSG00000213413
RPL15P12	ribosomal protein L15 pseudogene 12		100131958	
ZNF736P10Y	zinc finger protein 736 pseudogene 10, Y-linked		100419727	ENSG00000216824
RPS4XP18	ribosomal protein S4X pseudogene 18		646583	
SDC4	syndecan 4	SYND4, amphiglycan, ryudocan	6385	ENSG00000124145
CLIC1P1	chloride intracellular channel 1 pseudogene 1		390363	ENSG00000231313
RPS26P45	ribosomal protein S26 pseudogene 45		100271570	
RNU6ATAC3P	RNA, U6atac small nuclear 3, pseudogene		100151686	ENSG00000210709
GJA1	gap junction protein, alpha 1, 43kDa	CX43, ODD, ODOD, SDTY3	2697	ENSG00000152661
KIF12	kinesin family member 12		113220	ENSG00000136883
RWDD2A	RWD domain containing 2A	MGC13523, dJ747H23.2	112611	ENSG00000013392
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	SDR36C1	3248	ENSG00000164120
RGS19	regulator of G-protein signaling 19	GAIP, RGSGAIP	10287	ENSG00000171700
TEKT3	tektin 3	FLJ32828	64518	ENSG00000125409
CEP78	centrosomal protein 78kDa	FLJ12643	84131	ENSG00000148019
OPHN1P1	oligophrenin 1 pseudogene 1		266698	
LRRC25	leucine rich repeat containing 25	MAPA, FLJ38116	126364	ENSG00000175489
KLRG1	killer cell lectin-like receptor subfamily G, member 1	MAFA, 2F1, MAFA-L, CLEC15A	10219	ENSG00000139187
OPTN	optineurin	FIP2, HYPL, TFIIIA-INTP, NRP, HIP7	10133	ENSG00000123240
KLKB1	kallikrein B, plasma (Fletcher factor) 1		3818	ENSG00000164344
RNF11	ring finger protein 11	CGI-123, Sid1669p, MGC51169	26994	ENSG00000123091
SF3B1	splicing factor 3b, subunit 1, 155kDa	SAP155, SF3b155, PRPF10, Prp10, Hsh155	23451	ENSG00000115524
MAGI2-IT1	MAGI2 intronic transcript 1 (non-protein coding)	PR47, MAGI2IT	266671	ENSG00000235751
SNORD116-17	small nucleolar RNA, C/D box 116-17	HBII-85-17	100033429	ENSG00000206656
MOGS	mannosyl-oligosaccharide glucosidase	GCS1	7841	ENSG00000115275
SCAF1	SR-related CTD-associated factor 1	SR-A1, FLJ00034	58506	ENSG00000126461
TNNI3K	TNNI3 interacting kinase	CARK	51086	ENSG00000254685
GLIS1	GLIS family zinc finger 1	FLJ36155	148979	ENSG00000174332
OGN	osteoglycin	mimecan, OIF, SLRR3A	4969	ENSG00000106809
RPL36AP47	ribosomal protein L36a pseudogene 47		100271647	
PMP22	peripheral myelin protein 22	HNPP, GAS-3, Sp110	5376	ENSG00000109099
CGB1	chorionic gonadotropin, beta polypeptide 1		114335	ENSG00000213030
ANKRD19P	ankyrin repeat domain 19, pseudogene	FLJ36178	138649	ENSG00000187984
IGF2BP1	insulin-like growth factor 2 mRNA binding protein 1	IMP-1	10642	ENSG00000159217
CT45A4	cancer/testis antigen family 45, member A4	CT45-4, CT45.4	441520	ENSG00000228836
IGKV1-8	immunoglobulin kappa variable 1-8	IGKV18, L9	28942	ENSG00000240671
FN3K	fructosamine 3 kinase		64122	ENSG00000167363
KRT5	keratin 5	KRT5A	3852	ENSG00000186081
ST11	suppression of tumorigenicity 11 (pancreas)	PETS1	8466	
REREP1Y	arginine-glutamic acid dipeptide (RE) repeats pseudogene 1, Y-linked			ENSG00000225189
C8orf8	chromosome 8 open reading frame 8		83647	
SLC22A18AS	solute carrier family 22 (organic cation transporter), member 18 antisense	BWR1B, p27-BWR1B	5003	ENSG00000254827
LAMA2	laminin, alpha 2		3908	ENSG00000196569
PARP12	poly (ADP-ribose) polymerase family, member 12	FLJ22693, PARP-12, ZC3H1	64761	ENSG00000059378
MIR548P	microRNA 548p	hsa-mir-548p	100302288	ENSG00000221263
EIF2C1	eukaryotic translation initiation factor 2C, 1	AGO1	26523	ENSG00000092847
ALDH7A1	aldehyde dehydrogenase 7 family, member A1	EPD, PDE	501	ENSG00000164904
CASP7	caspase 7, apoptosis-related cysteine peptidase	MCH3, CMH-1, ICE-LAP3	840	ENSG00000165806
ATP5F1P1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1 pseudogene 1		100422523	ENSG00000224451
LMAN2	lectin, mannose-binding 2	GP36B, VIP36	10960	ENSG00000169223
BACE1-AS	BACE1 antisense RNA (non-protein coding)	FJ573250, NCRNA00177, BACE1-AS1	100379571	
ZNF593	zinc finger protein 593	ZT86	51042	ENSG00000142684
RPL13P12	ribosomal protein L13 pseudogene 12		388344	
HHATL-AS1	HHATL antisense RNA 1 (non-protein coding)			ENSG00000230970
ZNF618	zinc finger protein 618	KIAA1952, NEDD10	114991	ENSG00000157657
RPL23AP11	ribosomal protein L23a pseudogene 11		326294	
PPIL4	peptidylprolyl isomerase (cyclophilin)-like 4		85313	ENSG00000131013
HEPACAM	hepatic and glial cell adhesion molecule	FLJ25530, hepaCAM, GLIALCAM	220296	ENSG00000165478
NUS1	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	MGC7199	116150	ENSG00000153989
PET112	PET112 homolog (yeast)		5188	ENSG00000059691
C14orf177	chromosome 14 open reading frame 177	FLJ25773	283598	ENSG00000176605
DNASE1L3	deoxyribonuclease I-like 3	DNAS1L3, LSD	1776	ENSG00000163687
RBPMSLP	RNA binding protein with multiple splicing-like pseudogene		54032	ENSG00000234159
C14orf48	chromosome 14 open reading frame 48		256369	ENSG00000175699
MRPS16P	mitochondrial ribosomal protein S16 pseudogene	bA379F14.1	128609	ENSG00000232925
NFXL1	nuclear transcription factor, X-box binding-like 1	HOZFP	152518	ENSG00000170448
CA2	carbonic anhydrase II	Car2, CA-II, CAII	760	ENSG00000104267
NUBPL	nucleotide binding protein-like	FLJ12660, IND1, huInd1	80224	ENSG00000151413
C2orf84	chromosome 2 open reading frame 84	FLJ30851	653140	ENSG00000186453
LINC00237	long intergenic non-protein coding RNA 237			ENSG00000225127
MRX51	mental retardation, X-linked 51		4414	
GPR65	G protein-coupled receptor 65	hTDAG8, TDAG8	8477	ENSG00000140030
VPS33B	vacuolar protein sorting 33 homolog B (yeast)	FLJ14848	26276	ENSG00000184056
GALNTL2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	GALNT7	117248	ENSG00000131386
VN2R11P	vomeronasal 2 receptor 11 pseudogene		100033399	
CEACAMP2	carcinoembryonic antigen-related cell adhesion molecule pseudogene 2		1091	ENSG00000230558
RPL23AP83	ribosomal protein L23a pseudogene 83		100131846	
SNORD109B	small nucleolar RNA, C/D box 109B	HBII-438b	338429	ENSG00000239169
STK16P1	serine/threonine kinase 16 pseudogene 1		326107	
MIR548AD	microRNA 548ad	hsa-mir-548ad	100616475	
LATS1	LATS, large tumor suppressor, homolog 1 (Drosophila)	WARTS	9113	ENSG00000131023
KRTAP9-6	keratin associated protein 9-6	KAP9.6	100507608	ENSG00000212659
TADA3	transcriptional adaptor 3	FLJ20221, FLJ21329, ADA3, hADA3, NGG1	10474	ENSG00000171148
LGR6	leucine-rich repeat containing G protein-coupled receptor 6	FLJ14471	59352	ENSG00000133067
CXCL11	chemokine (C-X-C motif) ligand 11	H174, b-R1, I-TAC, IP-9	6373	ENSG00000169248
RN5S184	RNA, 5S ribosomal 184			
TRIM4	tripartite motif containing 4	RNF87	89122	ENSG00000146833
RN5S207	RNA, 5S ribosomal 207			
PPIAP9	peptidylprolyl isomerase A (cyclophilin A) pseudogene 9	Em:AC006046.3	5491	
RBM14-RBM4	RBM14-RBM4 readthrough		100526737	ENSG00000248643
ANKRD26P1	ankyrin repeat domain 26 pseudogene 1	FLJ43980	124149	
TRNAR15	transfer RNA arginine 15 (anticodon UCU)		100189133	
SCGB1C1	secretoglobin, family 1C, member 1	RYD5	147199	ENSG00000188076
HSDL2	hydroxysteroid dehydrogenase like 2	SDR13C1	84263	ENSG00000119471
MAP1LC3B2	microtubule-associated protein 1 light chain 3 beta 2	ATG8G	643246	ENSG00000171471
OR13C2	olfactory receptor, family 13, subfamily C, member 2		392376	ENSG00000257019
UQCRHP1	ubiquinol-cytochrome c reductase hinge protein pseudogene 1	Em:AF129756.18	100130756	
C12orf59	chromosome 12 open reading frame 59	FLJ31166	120939	ENSG00000165685
YBX1P10	Y box binding protein 1 pseudogene 10		158373	ENSG00000213866
TRNAY4	transfer RNA tyrosine 4 (anticodon GUA)		100189022	
IGHV3-42	immunoglobulin heavy variable 3-42 (pseudogene)		28427	ENSG00000254228
PAX4	paired box 4	MODY9	5078	ENSG00000106331
TRAJ23	T cell receptor alpha joining 23		28732	ENSG00000211866
PRORSD1P	prolyl-tRNA synthetase associated domain containing 1, pseudogene	Prdxdd1, Ybakd1	344405	
EMCN-IT3	EMCN intronic transcript 3 (non-protein coding)			ENSG00000250223
VCX3A	variable charge, X-linked 3A	VCX-8r, VCX-8R, VCX-A	51481	ENSG00000169059
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1-like	KIAA0376, CYTSA	23384	ENSG00000100014
FOXD4L1	forkhead box D4-like 1	FOXD5	200350	ENSG00000184492
RBM5	RNA binding motif protein 5	LUCA15, H37	10181	ENSG00000003756
SLC12A5	solute carrier family 12 (potassium/chloride transporter), member 5	KIAA1176, KCC2	57468	ENSG00000124140
SEPHS1	selenophosphate synthetase 1	SPS, SPS1	22929	ENSG00000086475
GDF5	growth differentiation factor 5	CDMP1, BMP14	8200	ENSG00000125965
S100A11	S100 calcium binding protein A11	S100C	6282	ENSG00000163191
C11orf94	chromosome 11 open reading frame 94		143678	ENSG00000234776
LARGE	like-glycosyltransferase	KIAA0609	9215	ENSG00000133424
PLEKHA8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	FAPP2, MGC3358	84725	ENSG00000106086
HSD3BP4	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4		128102	ENSG00000203855
NIPAL3	NIPA-like domain containing 3	DJ462O23.2	57185	ENSG00000001461
GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	Uae1	10020	ENSG00000159921
CIB3	calcium and integrin binding family member 3	KIP3	117286	ENSG00000141977
HSPD1P11	heat shock 60kDa protein 1 (chaperonin) pseudogene 11		100359396	ENSG00000251348
CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	MTGR2, ZMYND4, MTG16	863	ENSG00000129993
AVP	arginine vasopressin	ADH	551	ENSG00000101200
RPL32P6	ribosomal protein L32 pseudogene 6		100270888	
THOC1	THO complex 1	P84, HPR1	9984	ENSG00000079134
PIRC101	piwi-interacting RNA cluster 101		100313888	
UGT2B11	UDP glucuronosyltransferase 2 family, polypeptide B11		10720	ENSG00000213759
CHCHD2P8	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 8		646630	ENSG00000235115
ARHGAP29	Rho GTPase activating protein 29	PARG1	9411	ENSG00000137962
GAPDHP69	glyceraldehyde 3 phosphate dehydrogenase pseudogene 69		2611	ENSG00000223460
KCTD9P2	potassium channel tetramerisation domain containing 9 pseudogene 2		643535	ENSG00000181819
TYW1P1	tRNA-yW synthesizing protein 1 homolog pseudogene 1		100533847	
PALB2	partner and localizer of BRCA2	FLJ21816, FANCN	79728	ENSG00000083093
LTB4R	leukotriene B4 receptor	BLTR, P2Y7, LTB4R1	1241	ENSG00000213903
MIR31HG	MIR31 host gene (non-protein coding)		554202	
JAKMIP3	Janus kinase and microtubule interacting protein 3	FLJ37857, NECC2, KIAA4091, bA140A10.5	282973	ENSG00000188385
SERPINB8P1	serpin peptidase inhibitor, clade B8 (ovalbumin) pseudogene 1		11029	
KLK4	kallikrein-related peptidase 4	EMSP, EMSP1, PSTS, KLK-L1	9622	ENSG00000167749
FRY-AS1	FRY antisense RNA 1 (non-protein coding)		100507099	ENSG00000237637
ARL4C	ADP-ribosylation factor-like 4C	LAK	10123	ENSG00000188042
KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	Kv1.7, HAK6	3743	ENSG00000104848
CDY4P	chromodomain protein, Y-linked 4 pseudogene		386729	ENSG00000228411
DCX	doublecortin	SCLH, DC, LISX, DBCN, XLIS	1641	ENSG00000077279
RAD21-AS1	RAD21 antisense RNA 1 (non-protein coding)		644660	ENSG00000253327
C19orf2	chromosome 19 open reading frame 2	RMP, NNX3, FLJ10575, URI, PPP1R19	8725	ENSG00000105176
F8A1	coagulation factor VIII-associated 1	DXS522E	8263	ENSG00000197932
NOD2	nucleotide-binding oligomerization domain containing 2	BLAU, CD, PSORAS1, CLR16.3, NLRC2	64127	ENSG00000167207
TEKT4P2	tektin 4 pseudogene 2		100132288	ENSG00000227328
RPL31P20	ribosomal protein L31 pseudogene 20		100270986	ENSG00000229756
RN5S96	RNA, 5S ribosomal 96			
USP11	ubiquitin specific peptidase 11	UHX1	8237	ENSG00000102226
NANOGP9	Nanog homeobox pseudogene 9		349386	
DUXAP5	double homeobox A pseudogene 5		503634	ENSG00000255377
CRSP5	cofactor required for Sp1 transcriptional activation, subunit 5, 85kDa	CRSP85	10688	
IGLV1-51	immunoglobulin lambda variable 1-51		28820	ENSG00000211644
RPS6P23	ribosomal protein S6 pseudogene 23		100130313	ENSG00000230871
MYO7A	myosin VIIA	NSRD2	4647	ENSG00000137474
RPL6P7	ribosomal protein L6 pseudogene 7		100270848	ENSG00000239212
RNU7-77P	RNA, U7 small nuclear 77 pseudogene	U7.77	100151674	ENSG00000253054
TFDP3	transcription factor Dp family, member 3	HCA661, E2F-like, CT30	51270	ENSG00000183434
RGS12	regulator of G-protein signaling 12		6002	ENSG00000159788
CCDC94	coiled-coil domain containing 94	FLJ10374	55702	ENSG00000105248
GOLM1	golgi membrane protein 1	GP73, FLJ23608, bA379P1.3	51280	ENSG00000135052
HEXA	hexosaminidase A (alpha polypeptide)		3073	ENSG00000213614
C21orf37	chromosome 21 open reading frame 37		100505929	ENSG00000232560
EXOSC8	exosome component 8	OIP2, RRP43, bA421P11.3, Rrp43p, EAP2, p9, CIP3	11340	ENSG00000120699
ATG10	ATG10 autophagy related 10 homolog (S. cerevisiae)	DKFZP586I0418, FLJ13954	83734	ENSG00000152348
TRNAD11	transfer RNA aspartic acid 11 (anticodon GUC)		100189235	
HNRNPA1P30	heterogeneous nuclear ribonucleoprotein A1 pseudogene 30		440125	ENSG00000233780
CXorf1	chromosome X open reading frame 1		9142	ENSG00000221870
STARD13-AS1	STARD13 antisense RNA 1 (non-protein coding)			ENSG00000233226
RAD23B	RAD23 homolog B (S. cerevisiae)	HHR23B, P58, HR23B	5887	ENSG00000119318
MIR4650-2	microRNA 4650-2	hsa-mir-4650-2	100616331	
CES3	carboxylesterase 3	FLJ21736, ES31	23491	ENSG00000172828
TMX2	thioredoxin-related transmembrane protein 2	PDIA12	51075	ENSG00000213593
MIR4440	microRNA 4440	hsa-mir-4440	100616397	
FAM92A1	family with sequence similarity 92, member A1	FLJ38979	137392	ENSG00000188343
VIL1	villin 1	D2S1471	7429	ENSG00000127831
MIR518A1	microRNA 518a-1	hsa-mir-518a-1	574488	ENSG00000207803
TRNAE30P	transfer RNA glutamic acid 30 (anticodon UUC) pseudogene		100189457	ENSG00000242424
VWA5B1	von Willebrand factor A domain containing 5B1	FLJ32784	127731	ENSG00000158816
UNCX	UNC homeobox	Uncx4.1	340260	ENSG00000164853
SMPD1	sphingomyelin phosphodiesterase 1, acid lysosomal	ASM	6609	ENSG00000166311
PAX2	paired box 2		5076	ENSG00000075891
PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	dod	5300	ENSG00000127445
MIR592	microRNA 592	hsa-mir-592	693177	ENSG00000207692
SNORD114-11	small nucleolar RNA, C/D box 114-11	14q(II-11)	767589	ENSG00000200608
LRRC29	leucine rich repeat containing 29	FBL9	26231	ENSG00000125122
MTRNR2L13	MT-RNR2-like 13 (pseudogene)		100463500	
SNORA73B	small nucleolar RNA, H/ACA box 73B	U17B	6081	ENSG00000200087
PRRG4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	TMG4	79056	ENSG00000135378
GUSB	glucuronidase, beta		2990	ENSG00000169919
GMEB1	glucocorticoid modulatory element binding protein 1	P96PIF, PIF96	10691	ENSG00000162419
OR2J1	olfactory receptor, family 2, subfamily J, member 1 (gene/pseudogene)	OR6-5, hs6M1-4, dJ80I19.2	442185	
